Data;Moeda;Qtd;Tipo;Status
2018-12-03;BTC;0,46564768;ENTRADA;Entrada Direta/Rendimento
2018-12-04;XEM;12202,79;SAÍDA;Levantamento Externo
2018-12-11;BTC;0,24685529;SAÍDA;Levantamento Externo
2018-12-26;BTC;0,45253251;ENTRADA;Entrada Direta/Rendimento
2018-12-27;XEM;3225,78;SAÍDA;Levantamento Externo
2018-12-27;POLY;2352,645;SAÍDA;Levantamento Externo
2018-12-27;DASH;2,059;SAÍDA;Levantamento Externo
2018-12-27;BNB;67,97682188;SAÍDA;Levantamento Externo
2018-12-27;ETH;4,450545;SAÍDA;Levantamento Externo
2018-12-29;BTC;0,10004989;ENTRADA;Entrada Direta/Rendimento
2018-12-30;IOTA;10,0;SAÍDA;Levantamento Externo
2018-12-30;IOTA;22,967;SAÍDA;Levantamento Externo
2019-01-02;BTC;0,08931008;ENTRADA;Entrada Direta/Rendimento
2019-01-02;BTC;0,13100769;ENTRADA;Entrada Direta/Rendimento
2019-01-03;BTC;0,10135079;ENTRADA;Entrada Direta/Rendimento
2019-01-03;ADA;8041,95;SAÍDA;Levantamento Externo
2019-01-03;IOTA;1047,951;SAÍDA;Levantamento Externo
2019-01-04;NEO;10,0;SAÍDA;Levantamento Externo
2019-01-15;XRP;779,22;SAÍDA;Levantamento Externo
2019-01-18;BTC;0,05370705;ENTRADA;Entrada Direta/Rendimento
2019-01-19;BTC;0,05292755;ENTRADA;Entrada Direta/Rendimento
2019-01-19;XRP;297,702;SAÍDA;Levantamento Externo
2019-01-20;ADA;2134,862999;SAÍDA;Levantamento Externo
2019-01-20;XLM;1825,173;SAÍDA;Levantamento Externo
2019-01-21;EOS;2,0;SAÍDA;Levantamento Externo
2019-01-22;EOS;0,2;SAÍDA;Levantamento Externo
2019-01-22;EOS;201,3117;SAÍDA;Levantamento Externo
2019-01-27;TRX;5870,5;ENTRADA;Entrada Direta/Rendimento
2019-01-28;DASH;2,05699808;ENTRADA;Entrada Direta/Rendimento
2019-01-28;ZEC;2,09698272;ENTRADA;Entrada Direta/Rendimento
2019-01-30;IOTA;952,0;SAÍDA;Levantamento Externo
2019-01-31;XEM;3222,37;ENTRADA;Entrada Direta/Rendimento
2019-01-31;ETH;1,28118718;SAÍDA;Levantamento Externo
2019-02-19;BTC;0,30208312;ENTRADA;Entrada Direta/Rendimento
2019-02-22;BNB;57,70435358;SAÍDA;Levantamento Externo
2019-02-26;IOTA;2564,0;SAÍDA;Levantamento Externo
2019-03-08;ETH;6,1997858;ENTRADA;Entrada Direta/Rendimento
2019-03-08;ENJ;2459,538;SAÍDA;Levantamento Externo
2019-03-08;BAT;2185,812;SAÍDA;Levantamento Externo
2019-03-09;ETH;0,18;ENTRADA;Entrada Direta/Rendimento
2019-03-09;BTC;0,036;ENTRADA;Entrada Direta/Rendimento
2019-03-09;BAT;838,161;SAÍDA;Levantamento Externo
2019-03-13;BNB;75,0;ENTRADA;Entrada Direta/Rendimento
2019-03-15;XLM;10356,633;SAÍDA;Levantamento Externo
2019-03-18;IOTA;4594,418;ENTRADA;Entrada Direta/Rendimento
2019-03-18;XLM;4218,2775;SAÍDA;Levantamento Externo
2019-03-18;ADA;17701,800001;SAÍDA;Levantamento Externo
2019-03-19;BTC;0,26483717;ENTRADA;Entrada Direta/Rendimento
2019-03-19;ADA;20366,613;SAÍDA;Levantamento Externo
2019-03-23;BNB;198,0;ENTRADA;Entrada Direta/Rendimento
2019-03-23;ETH;8,064894;SAÍDA;Levantamento Externo
2019-03-23;EOS;102,0;SAÍDA;Levantamento Externo
2019-03-24;OMG;216,17;SAÍDA;Levantamento Externo
2019-03-25;IOTA;2748,9663;SAÍDA;Levantamento Externo
2019-03-26;LTC;8,14701132;ENTRADA;Entrada Direta/Rendimento
