Operação;Data;Hora;Moeda;Quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Status_Fiscal
Venda para Fiat (Tributável);2019-07-15;00:13:15;BNB;-0,0374818;0,27;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-15;00:13:15;BTC;-0,006348;18,07;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-15;00:13:15;BTC;-0,139996;329,18;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-15;00:13:15;BNB;-0,00053198;0,0;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-15;00:13:15;BTC;-0,001987;3,96;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-15;00:13:15;BNB;-0,00169958;0,01;TUSD;1490,86612797;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:11;ADA;-25192,0;3844,28;TUSD;1427,37872;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:11;TUSD;-1,42737872;0,0;TUSD;1427,37872;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;XRP;-758,0;803,48;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;XRP;-737,1;777,66;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;TUSD;-0,23330689;0,0;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;BNB;-0,00052435;0,0;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;TUSD;-0,23992216;0,0;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;XRP;-61,0;68,93;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;XRP;-144,2;162,95;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:28:42;TUSD;-0,04564218;0,0;TUSD;538,178956;Tributável
Venda para Fiat (Tributável);2019-07-17;19:29:18;LINK;-148,01;103,81;TUSD;360,789176;Tributável
Venda para Fiat (Tributável);2019-07-17;19:29:18;TUSD;-0,36078918;0,0;TUSD;360,789176;Tributável
Venda para Fiat (Tributável);2021-01-20;19:29:24;ADA;-200,0;6,47;EUR;59,564;Tributável
Venda para Fiat (Tributável);2021-01-20;19:29:24;BNB;-0,00127664;0,01;EUR;59,564;Tributável
Venda para Fiat (Tributável);2021-02-14;09:54:38;ADA;-23,7;0,77;EUR;35,282978;Tributável
Venda para Fiat (Tributável);2021-02-14;09:54:38;ADA;-25,0;0,81;EUR;35,282978;Tributável
Venda para Fiat (Tributável);2021-02-14;09:54:38;BNB;-0,00011829;0,0;EUR;35,282978;Tributável
Venda para Fiat (Tributável);2021-02-14;09:54:38;BNB;-0,0001248;0,0;EUR;35,282978;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:18;ADA;-261,0;8,44;EUR;228,01482;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:20;ADA;-260,8;8,43;EUR;227,840096;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:21;ADA;-16,7;0,54;EUR;14,589454;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:24;ADA;-27,7;0,9;EUR;24,199274;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:25;ADA;-73,0;2,36;EUR;63,77426;Tributável
Venda para Fiat (Tributável);2021-02-20;10:23:26;ADA;-27,7;0,9;EUR;24,199274;Tributável
Venda para Fiat (Tributável);2021-02-20;10:26:54;ADA;-76,7;2,48;EUR;67,006654;Tributável
Venda para Fiat (Tributável);2021-02-20;10:26:55;ADA;-114,2;3,69;EUR;99,767404;Tributável
Venda para Fiat (Tributável);2021-02-20;10:26:58;ADA;-16,8;0,54;EUR;214,648434;Tributável
Venda para Fiat (Tributável);2021-02-20;10:26:58;ADA;-228,9;7,4;EUR;214,648434;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:00;ADA;-747,7;202,76;EUR;2730,411948;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:00;ADA;-2377,7;198,15;EUR;2730,411948;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:07;ADA;-38,1;10,95;EUR;33,284922;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:08;ADA;-33,7;9,69;EUR;29,440994;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:09;ADA;-38,1;10,95;EUR;33,284922;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:10;ADA;-33,6;9,66;EUR;62,638554;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:10;ADA;-38,1;10,95;EUR;62,638554;Tributável
Venda para Fiat (Tributável);2021-02-20;10:27:11;ADA;-60,5;17,39;EUR;106,49427800000001;Tributável
