Operação;Data_Venda;Hora;Moeda;Quantidade;Data_Aquisição_Original;Valor_Aquisição_Total;Ativo_Contraparte;Valor_Recebido_Venda
Venda para Fiat;2021-01-20;19:29:24;ADA;200,0;2019-05-01;0,0;EUR;59,564
Venda para Fiat;2021-02-14;09:54:38;ADA;23,7;2019-05-01;0,0;EUR;35,282978
Venda para Fiat;2021-02-14;09:54:38;ADA;25,0;2019-05-01;0,0;EUR;35,282978
Venda para Fiat;2021-02-20;10:23:18;ADA;261,0;2020-02-02;0,0;EUR;228,01482
Venda para Fiat;2021-02-20;10:23:20;ADA;260,8;2020-02-02;0,0;EUR;227,840096
Venda para Fiat;2021-02-20;10:23:21;ADA;16,7;2020-02-02;0,0;EUR;14,589454
Venda para Fiat;2021-02-20;10:23:24;ADA;27,7;2020-02-02;0,0;EUR;24,199274
Venda para Fiat;2021-02-20;10:23:25;ADA;73,0;2020-02-02;0,0;EUR;63,77426
Venda para Fiat;2021-02-20;10:23:26;ADA;27,7;2020-02-02;0,0;EUR;24,199274
Venda para Fiat;2021-02-20;10:26:54;ADA;76,7;2020-02-02;0,0;EUR;67,006654
Venda para Fiat;2021-02-20;10:26:55;ADA;114,2;2020-02-02;0,0;EUR;99,767404
Venda para Fiat;2021-02-20;10:26:58;ADA;16,8;2020-02-02;0,0;EUR;214,648434
Venda para Fiat;2021-02-20;10:26:58;ADA;228,9;2020-02-02;0,0;EUR;214,648434
Venda para Fiat;2021-02-20;10:27:00;ADA;747,7;2020-02-02;0,0;EUR;2730,411948
Venda para Fiat;2021-02-20;10:27:00;ADA;2377,7;2020-02-02;0,0;EUR;2730,411948
Venda para Fiat;2021-02-20;10:27:07;ADA;38,1;2020-02-02;0,0;EUR;33,284922
Venda para Fiat;2021-02-20;10:27:08;ADA;33,7;2020-02-02;0,0;EUR;29,440994
Venda para Fiat;2021-02-20;10:27:09;ADA;38,1;2020-02-02;0,0;EUR;33,284922
