Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado
2021-01-20;ADA;200,0;2020-06-30;0,0;59,564;59,564
2021-02-14;ADA;23,7;2020-06-30;0,0;35,282978;35,282978
2021-02-14;ADA;25,0;2020-06-30;0,0;35,282978;35,282978
2021-02-20;ADA;261,0;2020-07-04;0,0;470,44437;470,44437
2021-02-20;ADA;260,8;2020-07-04;0,0;470,44437;470,44437
2021-02-20;ADA;16,7;2020-07-04;0,0;470,44437;470,44437
2021-02-20;ADA;27,7;2020-07-08;0,0;112,172808;112,172808
2021-02-20;ADA;73,0;2020-07-08;0,0;112,172808;112,172808
2021-02-20;ADA;27,7;2020-07-08;0,0;112,172808;112,172808
2021-02-20;ADA;76,7;2020-07-08;0,0;166,774058;166,774058
2021-02-20;ADA;114,2;2020-07-09;0,0;166,774058;166,774058
2021-02-20;ADA;16,8;2020-07-09;0,0;2945,0603820000006;2945,0603820000006
2021-02-20;ADA;228,9;2020-07-10;0,0;2945,0603820000006;2945,0603820000006
2021-02-20;ADA;747,7;2020-07-11;0,0;2945,0603820000006;2945,0603820000006
2021-02-20;ADA;2377,7;2020-07-11;0,0;2945,0603820000006;2945,0603820000006
2021-02-20;ADA;38,1;2020-07-11;0,0;33,284922;33,284922
2021-02-20;ADA;33,7;2020-07-11;0,0;231,858748;231,858748
2021-02-20;ADA;38,1;2020-07-11;0,0;231,858748;231,858748
2021-02-20;ADA;33,6;2020-07-12;0,0;231,858748;231,858748
2021-02-20;ADA;38,1;2020-07-12;0,0;231,858748;231,858748
2021-02-20;ADA;60,5;2020-07-12;0,0;231,858748;231,858748
2021-02-20;ADA;33,6;2020-07-12;0,0;231,858748;231,858748
2021-02-20;ADA;27,8;2020-07-12;0,0;231,858748;231,858748
2021-02-20;ADA;27,8;2020-07-12;0,0;11774,300912000002;11774,300912000002
2021-02-20;ADA;8397,0;2020-07-12;0,0;11774,300912000002;11774,300912000002
2021-02-20;ADA;76,9;2020-07-14;0,0;11774,300912000002;11774,300912000002
2021-02-20;ADA;4948,1;2020-07-14;0,0;11774,300912000002;11774,300912000002
2021-02-20;ADA;27,8;2020-07-14;0,0;11774,300912000002;11774,300912000002
2021-03-31;BNB;30,129;2020-02-02;0,0;11105,5252;11105,5252
2021-03-31;BNB;13,871;2020-02-02;0,0;11105,5252;11105,5252
2021-04-02;BTC;0,000371;2021-01-31;0,0;952,4774464;952,4774464
2021-04-02;BTC;0,000649;2021-01-31;0,0;952,4774464;952,4774464
2021-04-02;BTC;0,000648;2021-01-31;0,0;952,4774464;952,4774464
2021-04-02;BTC;0,000648;2021-02-02;0,0;952,4774464;952,4774464
2021-04-02;BTC;0,008178;2021-02-20;0,0;952,4774464;952,4774464
2021-04-02;ADA;732,3;2020-07-14;0,0;3077,67;3077,67
2021-04-02;ADA;409,7;2020-08-28;0,0;3077,67;3077,67
2021-04-02;ADA;558,1;2020-08-28;0,0;3077,67;3077,67
2021-04-02;ADA;315,1;2020-09-04;0,0;3077,67;3077,67
2021-04-02;ADA;611,2;2020-09-04;0,0;3077,67;3077,67
2021-04-02;ADA;373,6;2020-09-16;0,0;3077,67;3077,67
2021-04-19;VET;50752,4;2020-07-16;0,0;10145,40476;10145,40476
2021-04-19;ADA;19,3;2021-04-19;0,0;58,61435;58,61435
2021-05-06;ADA;1566,0;2021-05-06;0,0;2165,3082;2165,3082
2021-05-07;AVAX;47,074;2021-01-24;0,0;1659,12313;1659,12313
2021-05-09;ADA;1058,36;2021-05-09;0,0;11284,464316000001;11284,464316000001
2021-05-09;ADA;5671,0;2021-05-09;0,0;11284,464316000001;11284,464316000001
2021-05-20;VET;4875,26;2020-07-16;0,0;3253,323773;3253,323773
2021-05-20;VET;5640,29;2020-07-16;0,0;3253,323773;3253,323773
2021-05-20;VET;4000,0;2020-07-16;0,0;3253,323773;3253,323773
2021-05-20;VET;849,44;2021-04-19;0,0;3253,323773;3253,323773
2021-05-20;VET;13239,01;2021-04-19;0,0;3253,323773;3253,323773
2021-05-20;AVAX;214,958;2021-01-24;0,0;5401,403777;5401,403777
2021-05-20;AVAX;22,895;2021-01-25;0,0;5401,403777;5401,403777
2021-05-20;XRP;1499,28;2021-02-16;0,0;1840,7468099999999;1840,7468099999999
2021-05-20;XRP;295,87;2021-02-16;0,0;1840,7468099999999;1840,7468099999999
2021-05-21;THETA;564,178;2021-04-05;0,0;4985,2638;4985,2638
2021-05-21;THETA;316,922;2021-04-05;0,0;4985,2638;4985,2638
2021-05-23;LINK;50,0;2021-05-23;0,0;839,25;839,25
2021-05-23;ETH;2,5;2021-05-23;0,0;4431,8;4431,8
2021-05-24;ADA;242,71;2021-05-24;0,0;299,98956;299,98956
2021-05-26;THETA;20,166;2021-04-05;0,0;4999,6116;4999,6116
2021-05-26;THETA;225,3;2021-04-05;0,0;4999,6116;4999,6116
2021-05-26;THETA;20,069;2021-05-11;0,0;4999,6116;4999,6116
2021-05-26;THETA;30,254;2021-05-11;0,0;4999,6116;4999,6116
2021-05-26;THETA;235,944;2021-05-25;0,0;4999,6116;4999,6116
2021-05-26;THETA;62,507;2021-05-25;0,0;4999,6116;4999,6116
2021-05-26;THETA;20,161;2021-05-25;0,0;4999,6116;4999,6116
2021-05-26;THETA;181,0;2021-05-25;0,0;4999,6116;4999,6116
2021-05-26;THETA;66,601;2021-05-25;0,0;4999,6116;4999,6116
2021-05-26;THETA;24,953;2021-05-25;0,0;316,6104;316,6104
2021-05-26;THETA;29,635;2021-05-25;0,0;316,6104;316,6104
