Data;Saiu;Entrou;Custo_Transferido;Data_Original
2018-12-03;BTC;XEM;0,0;2018-12-03
2018-12-11;XEM;BTC;0,0;2018-12-03
2018-12-26;BTC;POLY;0,0;2018-12-26
2018-12-29;BTC;EOS;0,0;2018-12-29
2018-12-30;EOS;BTC;0,0;2018-12-29
2018-12-30;BTC;IOTA;0,0;2018-12-30
2019-01-03;BTC;IOTA;0,0;2019-01-02
2019-01-03;BTC;IOTA;0,0;2019-01-02
2019-01-03;BTC;IOTA;0,0;2019-01-03
2019-01-10;TRX;BTC;0,0;2019-01-09
2019-01-10;TRX;BTC;0,0;2019-01-09
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;BTC;XRP;0,0;2019-01-10
2019-01-15;BTC;XRP;0,0;2019-01-10
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-15;XRP;XRP;0,0;2019-01-15
2019-01-19;BTC;XLM;0,0;2019-01-18
2019-01-19;BTC;XRP;0,0;2019-01-19
2019-01-27;EOS;BNB;0,0;2018-12-29
2019-01-27;NEO;BNB;0,0;2019-01-03
2019-01-28;ZEC;BTC;0,0;2019-01-28
2019-01-28;DASH;BTC;0,0;2018-12-26
2019-01-28;DASH;BTC;0,0;2019-01-28
2019-01-30;BTC;IOTA;0,0;2019-01-28
2019-01-31;XEM;ETH;0,0;2018-12-03
2019-01-31;XEM;ETH;0,0;2018-12-03
2019-01-31;XEM;ETH;0,0;2018-12-03
2019-01-31;XEM;ETH;0,0;2018-12-26
2019-01-31;XEM;ETH;0,0;2018-12-26
2019-01-31;XEM;ETH;0,0;2018-12-26
2019-01-31;XEM;ETH;0,0;2019-01-31
2019-02-07;TRX;BNB;0,0;2019-01-27
2019-02-19;BTC;BNB;0,0;2019-01-28
2019-02-19;BTC;IOTA;0,0;2019-01-28
2019-02-19;BTC;IOTA;0,0;2019-01-28
2019-02-22;BTC;BNB;0,0;2019-01-28
2019-03-08;ETH;ENJ;0,0;2019-01-31
2019-03-08;ETH;ENJ;0,0;2019-01-31
2019-03-08;ETH;ENJ;0,0;2019-01-31
2019-03-08;ETH;ENJ;0,0;2019-01-31
2019-03-08;ETH;BAT;0,0;2019-03-08
2019-03-09;ETH;BAT;0,0;2019-03-09
2019-03-09;BTC;BAT;0,0;2019-01-28
2019-03-09;BTC;BNB;0,0;2019-01-28
2019-03-13;BNB;XLM;0,0;2019-01-27
2019-03-13;BNB;XLM;0,0;2019-02-07
2019-03-13;BNB;XLM;0,0;2019-02-07
2019-03-13;BNB;XLM;0,0;2019-02-07
2019-03-13;BNB;XLM;0,0;2019-02-19
2019-03-13;BNB;XLM;0,0;2019-02-22
2019-03-13;BNB;XLM;0,0;2019-03-09
2019-03-13;BNB;XLM;0,0;2019-03-13
2019-03-18;IOTA;BNB;0,0;2019-02-19
2019-03-18;IOTA;BNB;0,0;2019-02-19
2019-03-18;IOTA;BNB;0,0;2019-03-18
2019-03-18;BNB;ADA;0,0;2019-03-18
2019-03-18;BNB;ADA;0,0;2019-03-18
2019-03-18;BNB;ADA;0,0;2019-03-18
2019-03-18;BNB;ADA;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-18;BNB;XLM;0,0;2019-03-18
2019-03-19;BTC;ADA;0,0;2019-02-19
2019-03-23;BNB;ETH;0,0;2019-03-23
2019-03-24;BTC;OMG;0,0;2019-03-09
2019-03-26;LTC;BTC;0,0;2019-03-26
2019-03-26;BTC;NEO;0,0;2019-03-19
2019-03-26;BTC;NEO;0,0;2019-03-24
2019-03-26;BTC;NEO;0,0;2019-03-26
2019-03-26;BTC;NEO;0,0;2019-03-26
2019-03-28;ENJ;BNB;0,0;2019-03-08
2019-03-29;BNB;BAT;0,0;2019-03-28
2019-03-29;BNB;BAT;0,0;2019-03-28
2019-03-29;BTC;NEO;0,0;2019-03-29
2019-03-30;ENJ;BTC;0,0;2019-03-28
2019-03-30;ENJ;BTC;0,0;2019-03-30
2019-03-30;BTC;EOS;0,0;2019-03-30
2019-03-30;BTC;EOS;0,0;2019-03-30
2019-03-30;BTC;EOS;0,0;2019-03-30
2019-03-30;NEO;BNB;0,0;2019-03-26
2019-04-02;BTC;ADA;0,0;2019-04-01
2019-04-02;ONT;BTC;0,0;2019-03-23
2019-04-02;ONT;BTC;0,0;2019-03-23
2019-04-02;BTC;ADA;0,0;2019-04-02
2019-04-02;BTC;ADA;0,0;2019-04-02
2019-04-02;EOS;BNB;0,0;2018-12-29
2019-04-02;BAT;BNB;0,0;2019-03-09
2019-04-02;BAT;BNB;0,0;2019-03-09
2019-04-02;BAT;BNB;0,0;2019-03-09
2019-04-02;BAT;BNB;0,0;2019-03-29
2019-04-02;BNB;ADA;0,0;2019-03-30
2019-04-02;BNB;ADA;0,0;2019-03-31
2019-04-02;BNB;ADA;0,0;2019-03-31
2019-04-02;BNB;ADA;0,0;2019-04-02
2019-04-03;BNB;ADA;0,0;2019-04-02
2019-04-03;BNB;ADA;0,0;2019-04-02
2019-04-03;BNB;BTC;0,0;2019-04-03
2019-04-03;GAS;BNB;0,0;2019-02-01
2019-04-03;BAT;BNB;0,0;2019-03-29
2019-04-03;ONG;BNB;0,0;2019-04-03
2019-04-03;BTC;BCHABC;0,0;2019-04-03
2019-04-03;BTC;BCHABC;0,0;2019-04-03
2019-04-03;BTC;BCHABC;0,0;2019-04-03
2019-04-03;BTC;BCHABC;0,0;2019-04-03
2019-04-03;BNB;EOS;0,0;2019-04-03
2019-04-03;BNB;BTC;0,0;2019-04-03
2019-04-04;BTC;LTC;0,0;2019-04-03
2019-04-04;BTC;BNB;0,0;2019-04-03
2019-04-07;LTC;ETH;0,0;2019-04-04
2019-04-11;BTC;ADA;0,0;2019-04-03
2019-04-11;BTC;ADA;0,0;2019-04-03
2019-04-11;BTC;ADA;0,0;2019-04-03
2019-04-11;BTC;ADA;0,0;2019-04-03
2019-04-14;ETH;ADA;0,0;2019-03-23
2019-04-14;ETH;BNB;0,0;2019-03-23
2019-04-14;BTC;ADA;0,0;2019-04-03
2019-04-14;BTC;ADA;0,0;2019-04-03
2019-04-14;BTC;ADA;0,0;2019-04-03
2019-04-14;BTC;ADA;0,0;2019-04-10
2019-04-14;ETH;ADA;0,0;2019-03-23
2019-04-16;BCHABC;BTC;0,0;2019-04-03
2019-04-16;BTC;BAT;0,0;2019-04-10
2019-04-16;BTC;BNB;0,0;2019-04-16
2019-04-16;ETH;BNB;0,0;2019-03-23
2019-04-19;ADA;BNB;0,0;2019-03-19
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-02
2019-04-19;ADA;BNB;0,0;2019-04-03
2019-04-19;ADA;BNB;0,0;2019-04-03
2019-04-19;ADA;BNB;0,0;2019-04-03
2019-04-19;ADA;BNB;0,0;2019-04-11
2019-04-19;ADA;BNB;0,0;2019-04-11
2019-04-19;ADA;BNB;0,0;2019-04-14
2019-04-19;ADA;BNB;0,0;2019-04-14
2019-04-19;ADA;BNB;0,0;2019-04-14
2019-04-19;ADA;BNB;0,0;2019-04-14
2019-04-19;EOS;BNB;0,0;2019-01-03
2019-04-19;EOS;BNB;0,0;2019-01-03
2019-04-19;EOS;BNB;0,0;2019-03-23
2019-04-19;EOS;BNB;0,0;2019-03-23
2019-04-20;OMG;BNB;0,0;2019-04-19
2019-04-20;NEO;BNB;0,0;2019-03-26
2019-04-20;EOS;BNB;0,0;2019-03-30
2019-04-20;EOS;BNB;0,0;2019-03-30
2019-04-20;EOS;BNB;0,0;2019-03-30
2019-04-20;EOS;BNB;0,0;2019-03-30
2019-04-20;EOS;BNB;0,0;2019-04-03
2019-04-20;EOS;BNB;0,0;2019-04-03
2019-04-20;EOS;BNB;0,0;2019-04-03
2019-04-20;EOS;BNB;0,0;2019-04-03
2019-04-20;EOS;BNB;0,0;2019-04-19
2019-04-20;EOS;BNB;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-04
2019-04-20;BNB;BAT;0,0;2019-04-08
2019-04-20;BNB;BAT;0,0;2019-04-14
2019-04-20;BNB;BAT;0,0;2019-04-16
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-19
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BNB;BAT;0,0;2019-04-20
2019-04-20;BAT;BNB;0,0;2019-03-29
2019-04-20;BAT;BNB;0,0;2019-03-29
2019-04-26;BTC;POLY;0,0;2019-04-26
2019-04-29;BNB;IOTA;0,0;2019-04-20
2019-04-29;BNB;IOTA;0,0;2019-04-20
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-03-25
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;IOTA;BNB;0,0;2019-04-29
2019-05-01;BNB;XRP;0,0;2019-04-29
2019-05-01;BNB;ONT;0,0;2019-05-01
2019-05-01;BAT;BNB;0,0;2019-04-02
2019-05-01;BAT;BNB;0,0;2019-04-16
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;BAT;BNB;0,0;2019-04-20
2019-05-01;ETH;BNB;0,0;2019-03-23
2019-05-01;ETH;XRP;0,0;2019-03-23
2019-05-01;ETH;XRP;0,0;2019-04-03
2019-05-01;ETH;XRP;0,0;2019-04-07
2019-05-01;ETH;XRP;0,0;2019-04-07
2019-05-01;BTC;RVN;0,0;2019-05-01
2019-05-03;POLY;BNB;0,0;2019-04-26
2019-05-03;POLY;BNB;0,0;2019-04-26
2019-05-03;POLY;BNB;0,0;2019-04-26
