Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado;Moeda_Recebida
2021-01-20;ADA;200,0;2019-04-03;0,0;59,56;59,56;EUR
2021-02-14;ADA;23,7;2019-04-03;0,0;35,28;35,28;EUR
2021-02-14;ADA;25,0;2019-04-03;0,0;35,28;35,28;EUR
2021-02-20;ADA;52,3;2019-05-15;0,0;45,69;45,69;EUR
2021-02-20;ADA;208,7;2019-05-15;0,0;182,32;182,32;EUR
2021-02-20;ADA;260,8;2019-05-15;0,0;227,84;227,84;EUR
2021-02-20;ADA;16,7;2019-05-15;0,0;14,59;14,59;EUR
2021-02-20;ADA;27,7;2019-05-15;0,0;24,2;24,2;EUR
2021-02-20;ADA;73,0;2019-05-15;0,0;63,77;63,77;EUR
2021-02-20;ADA;27,7;2019-05-15;0,0;24,2;24,2;EUR
2021-02-20;ADA;76,7;2019-05-15;0,0;67,01;67,01;EUR
2021-02-20;ADA;114,2;2019-05-15;0,0;99,77;99,77;EUR
2021-02-20;ADA;16,8;2019-05-15;0,0;214,65;214,65;EUR
2021-02-20;ADA;228,9;2019-05-15;0,0;214,65;214,65;EUR
2021-02-20;ADA;747,7;2019-05-15;0,0;2730,41;2730,41;EUR
2021-02-20;ADA;1069,7;2019-05-15;0,0;1228,38;1228,38;EUR
2021-02-20;ADA;45,6;2019-05-15;0,0;52,36;52,36;EUR
2021-02-20;ADA;205,9;2019-05-15;0,0;236,44;236,44;EUR
2021-02-20;ADA;1056,5;2019-05-15;0,0;1213,22;1213,22;EUR
2021-02-20;ADA;38,1;2019-05-15;0,0;33,28;33,28;EUR
2021-02-20;ADA;33,7;2019-05-15;0,0;29,44;29,44;EUR
2021-02-20;ADA;38,1;2019-05-15;0,0;33,28;33,28;EUR
2021-02-20;ADA;33,6;2019-05-15;0,0;62,64;62,64;EUR
2021-02-20;ADA;38,1;2019-05-15;0,0;62,64;62,64;EUR
2021-02-20;ADA;60,5;2019-05-15;0,0;106,49;106,49;EUR
2021-02-20;ADA;33,6;2019-05-15;0,0;106,49;106,49;EUR
2021-02-20;ADA;27,8;2019-05-15;0,0;106,49;106,49;EUR
2021-02-20;ADA;27,8;2019-05-15;0,0;24,29;24,29;EUR
2021-02-20;ADA;1112,2;2019-05-15;0,0;980,54;980,54;EUR
2021-02-20;ADA;52,8;2019-05-15;0,0;46,55;46,55;EUR
2021-02-20;ADA;322,7;2019-07-02;0,0;284,5;284,5;EUR
2021-02-20;ADA;150,1;2019-01-15;0,0;132,33;132,33;EUR
2021-02-20;ADA;150,0;2019-07-02;0,0;132,24;132,24;EUR
2021-02-20;ADA;712,0;2019-01-15;0,0;627,71;627,71;EUR
2021-02-20;ADA;5897,2;2019-07-11;0,0;5199,09;5199,09;EUR
2021-02-20;ADA;76,9;2019-07-11;0,0;7402,97;7402,97;EUR
2021-02-20;ADA;4948,1;2019-07-11;0,0;4322,76;4322,76;EUR
2021-02-20;ADA;27,8;2019-07-11;0,0;24,29;24,29;EUR
2021-03-31;BNB;0,01370333;2019-09-04;0,0;5,05;5,05;EUR
2021-03-31;BNB;11,644558;2020-01-17;0,0;4292,17;4292,17;EUR
2021-03-31;BNB;11,644558;2019-07-25;0,0;4292,17;4292,17;EUR
2021-03-31;BNB;0,17196;2020-01-17;0,0;63,38;63,38;EUR
2021-03-31;BNB;0,17196;2019-07-25;0,0;63,38;63,38;EUR
2021-03-31;BNB;6,48226067;2020-01-17;0,0;2389,36;2389,36;EUR
2021-03-31;BNB;13,871;2020-01-17;0,0;11105,53;11105,53;EUR
2021-04-02;BTC;0,000371;2021-01-31;0,0;18,67;18,67;EUR
2021-04-02;BTC;0,00056364;2021-01-31;0,0;28,37;28,37;EUR
2021-04-02;BTC;8,536e-05;2020-09-04;0,0;4,3;4,3;EUR
2021-04-02;BTC;0,000648;2020-09-04;0,0;32,61;32,61;EUR
2021-04-02;BTC;0,000648;2020-09-04;0,0;868,53;868,53;EUR
2021-04-02;BTC;0,00128904;2020-09-04;0,0;136,9;136,9;EUR
2021-04-02;BTC;0,00093464;2019-01-28;0,0;99,26;99,26;EUR
2021-04-02;BTC;0,0026704;2019-05-24;0,0;283,61;283,61;EUR
2021-04-02;BTC;0,00093464;2019-05-24;0,0;99,26;99,26;EUR
2021-04-02;BTC;0,00234928;2021-01-31;0,0;249,5;249,5;EUR
2021-04-02;BTC;0,0015228;2021-01-31;0,0;156,86;156,86;EUR
2021-04-02;BTC;0,0069092;2021-01-31;0,0;711,68;711,68;EUR
2021-04-02;BTC;0,008432;2021-01-31;0,0;424,35;424,35;EUR
2021-04-02;BTC;0,00308456;2021-01-31;0,0;292,91;292,91;EUR
2021-04-02;BTC;0,0026704;2021-01-31;0,0;253,58;253,58;EUR
2021-04-02;BTC;0,00267704;2019-05-24;0,0;254,21;254,21;EUR
2021-04-02;BTC;0,000992;2019-05-24;0,0;800,69;800,69;EUR
2021-04-02;BTC;0,00020304;2019-05-24;0,0;25,07;25,07;EUR
2021-04-02;BTC;0,00628296;2019-03-23;0,0;775,63;775,63;EUR
2021-04-02;BTC;0,006486;2019-03-23;0,0;326,42;326,42;EUR
2021-04-02;BTC;0,0056568;2019-03-23;0,0;284,69;284,69;EUR
2021-04-02;BTC;0,0026704;2019-03-30;0,0;134,39;134,39;EUR
2021-04-02;BTC;0,00387208;2019-03-30;0,0;194,87;194,87;EUR
2021-04-02;BTC;0,01842576;2019-04-20;0,0;927,3;927,3;EUR
2021-04-02;BTC;0,0026704;2019-03-30;0,0;134,39;134,39;EUR
2021-04-02;BTC;0,00387208;2020-09-04;0,0;194,87;194,87;EUR
2021-04-02;BTC;0,01307848;2019-04-04;0,0;658,19;658,19;EUR
2021-04-02;ADA;732,3;2019-07-11;0,0;3077,67;3077,67;EUR
2021-04-02;ADA;409,7;2019-07-11;0,0;3077,67;3077,67;EUR
2021-04-02;ADA;558,1;2019-07-11;0,0;3077,67;3077,67;EUR
2021-04-02;ADA;315,1;2019-07-11;0,0;3077,67;3077,67;EUR
2021-04-02;ADA;34,8;2019-07-11;0,0;175,23;175,23;EUR
2021-04-02;ADA;576,4;2019-07-11;0,0;2902,44;2902,44;EUR
2021-04-02;ADA;373,6;2019-07-11;0,0;3077,67;3077,67;EUR
2021-04-18;ADA;1043,2;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-18;ADA;94,9;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-18;ADA;300,0;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-18;ADA;1228,1;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-18;ADA;1693,7;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-18;ADA;8009,1;2019-07-15;0,0;12130,0;12130,0;EUR
2021-04-18;ADA;2046,8;2019-07-15;0,0;3099,93;3099,93;EUR
2021-04-18;ADA;94,9;2019-07-15;0,0;15229,93;15229,93;EUR
2021-04-19;VET;1002,0;2020-07-16;0,0;200,3;200,3;EUR
2021-04-19;VET;13455,0;2020-07-16;0,0;2689,65;2689,65;EUR
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96;EUR
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96;EUR
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96;EUR
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96;EUR
2021-04-19;VET;19431,0;2020-07-16;0,0;3884,26;3884,26;EUR
2021-04-19;VET;14712,0;2020-07-16;0,0;2940,93;2940,93;EUR
2021-04-19;VET;400,0;2020-07-16;0,0;79,96;79,96;EUR
2021-04-19;VET;152,4;2020-07-16;0,0;30,46;30,46;EUR
2021-04-19;ADA;19,3;2019-07-15;0,0;19,67;19,67;EUR
2021-04-19;ADA;19,1;2019-07-15;0,0;19,47;19,47;EUR
2021-04-19;ADA;19,1;2019-07-15;0,0;19,47;19,47;EUR
2021-04-19;ADA;2673,2;2019-07-15;0,0;2744,68;2744,68;EUR
2021-04-19;ADA;19,3;2019-07-15;0,0;2744,68;2744,68;EUR
2021-05-06;ADA;1566,0;2019-07-26;0,0;2165,31;2165,31;EUR
2021-05-07;AVAX;21,0;2021-01-24;0,0;740,14;740,14;EUR
2021-05-07;AVAX;0,8;2021-01-24;0,0;28,2;28,2;EUR
2021-05-07;AVAX;21,0;2020-09-04;0,0;740,14;740,14;EUR
2021-05-07;AVAX;0,8;2019-05-27;0,0;28,2;28,2;EUR
2021-05-07;AVAX;3,474;2019-01-19;0,0;122,44;122,44;EUR
2021-05-09;ADA;1058,36;2019-07-26;0,0;11284,46;11284,46;EUR
2021-05-09;ADA;5671,0;2019-07-26;0,0;11284,46;11284,46;EUR
2021-05-09;ADA;1270,0;2019-07-26;0,0;11284,46;11284,46;EUR
2021-05-09;ADA;0,64;2019-07-26;0,0;0,9;0,9;EUR
2021-05-15;ADA;998,93;2019-07-26;0,0;2017,81;2017,81;EUR
2021-05-15;ADA;6,01;2019-07-26;0,0;2017,81;2017,81;EUR
2021-05-15;ADA;131,0;2019-07-26;0,0;2017,81;2017,81;EUR
2021-05-15;ADA;63,71;2019-07-26;0,0;2017,81;2017,81;EUR
2021-05-15;ADA;0,35;2019-07-26;0,0;0,59;0,59;EUR
2021-05-20;VET;400,0;2020-04-29;0,0;266,93;266,93;EUR
2021-05-20;VET;400,0;2020-04-25;0,0;266,93;266,93;EUR
2021-05-20;VET;400,0;2020-05-22;0,0;266,93;266,93;EUR
2021-05-20;VET;3675,26;2020-05-31;0,0;2452,55;2452,55;EUR
2021-05-20;VET;5640,29;2020-05-31;0,0;3253,32;3253,32;EUR
2021-05-20;VET;4000,0;2020-05-31;0,0;3253,32;3253,32;EUR
2021-05-20;VET;849,44;2020-05-31;0,0;3253,32;3253,32;EUR
2021-05-20;VET;5266,01;2020-05-31;0,0;1294,06;1294,06;EUR
2021-05-20;VET;7973,0;2020-05-31;0,0;1959,27;1959,27;EUR
2021-05-20;AVAX;17,526;2019-01-19;0,0;440,39;440,39;EUR
2021-05-20;AVAX;0,8;2019-05-27;0,0;20,1;20,1;EUR
2021-05-20;AVAX;59,7;2021-01-25;0,0;1500,12;1500,12;EUR
2021-05-20;AVAX;59,7;2019-01-19;0,0;1500,12;1500,12;EUR
2021-05-20;AVAX;27,0;2021-01-25;0,0;678,45;678,45;EUR
2021-05-20;AVAX;8,6;2021-01-25;0,0;216,1;216,1;EUR
2021-05-20;AVAX;29,3;2021-01-25;0,0;736,24;736,24;EUR
2021-05-20;AVAX;12,332;2021-01-25;0,0;309,88;309,88;EUR
2021-05-20;AVAX;22,895;2021-01-25;0,0;5401,4;5401,4;EUR
2021-05-20;XRP;486,0;2021-02-16;0,0;596,69;596,69;EUR
2021-05-20;XRP;1013,28;2021-02-16;0,0;1244,06;1244,06;EUR
2021-05-20;XRP;295,87;2021-02-16;0,0;1840,75;1840,75;EUR
2021-05-21;THETA;3,0;2021-04-05;0,0;26,51;26,51;EUR
2021-05-21;THETA;3,0;2019-04-04;0,0;26,51;26,51;EUR
2021-05-21;THETA;56,0;2021-04-05;0,0;494,83;494,83;EUR
2021-05-21;THETA;56,0;2021-01-31;0,0;494,83;494,83;EUR
2021-05-21;THETA;49,6;2021-04-05;0,0;438,28;438,28;EUR
2021-05-21;THETA;49,6;2021-01-31;0,0;438,28;438,28;EUR
2021-05-21;THETA;346,978;2021-04-05;0,0;3066,01;3066,01;EUR
2021-05-21;THETA;48,522;2021-04-05;0,0;763,26;763,26;EUR
2021-05-21;THETA;268,4;2021-01-31;0,0;4222,0;4222,0;EUR
2021-05-23;LINK;50,0;2019-05-01;0,0;839,25;839,25;EUR
2021-05-23;LINK;50,0;2019-05-01;0,0;841,05;841,05;EUR
2021-05-23;LINK;50,0;2019-05-01;0,0;833,8;833,8;EUR
2021-05-23;LINK;50,0;2019-05-01;0,0;837,25;837,25;EUR
2021-05-23;LINK;50,0;2019-05-01;0,0;837,8;837,8;EUR
2021-05-23;ETH;2,5;2021-05-23;0,0;4431,8;4431,8;EUR
2021-05-23;ETH;2,5;2021-05-23;0,0;4442,05;4442,05;EUR
2021-05-23;ADA;27,21;2019-03-30;0,0;53,83;53,83;EUR
2021-05-23;ADA;23,58;2019-03-30;0,0;53,83;53,83;EUR
2021-05-23;ADA;434,21;2019-03-30;0,0;2487,37;2487,37;EUR
2021-05-23;ADA;2354,22;2019-10-13;0,0;13486,16;13486,16;EUR
2021-05-23;ADA;2470,78;2019-10-13;0,0;4344,79;4344,79;EUR
2021-05-23;ADA;4825,0;2019-06-03;0,0;8484,6;8484,6;EUR
2021-05-23;ADA;319,0;2019-10-13;0,0;560,95;560,95;EUR
2021-05-23;ADA;319,0;2019-03-30;0,0;560,95;560,95;EUR
2021-05-23;ADA;1150,0;2019-11-11;0,0;2022,24;2022,24;EUR
2021-05-23;ADA;100,0;2019-11-11;0,0;15973,53;15973,53;EUR
2021-05-23;ADA;338,0;2019-11-11;0,0;1741,63;1741,63;EUR
2021-05-23;ADA;273,0;2019-11-11;0,0;1406,7;1406,7;EUR
2021-05-23;ADA;1314,0;2019-11-11;0,0;6770,71;6770,71;EUR
2021-05-23;ADA;657,0;2019-11-11;0,0;3385,36;3385,36;EUR
2021-05-23;ADA;518,0;2019-11-11;0,0;2669,13;2669,13;EUR
2021-05-24;ADA;242,71;2019-11-18;0,0;299,99;299,99;EUR
2021-05-24;ADA;134,13;2019-11-18;0,0;165,78;165,78;EUR
2021-05-24;ADA;80,38;2019-11-18;0,0;99,35;99,35;EUR
2021-05-24;ADA;80,99;2019-11-18;0,0;12347,0;12347,0;EUR
2021-05-24;ADA;9919,01;2019-11-18;0,0;12347,0;12347,0;EUR
2021-05-24;ADA;2454,78;2019-11-18;0,0;3030,18;3030,18;EUR
2021-05-24;ADA;274,0;2019-11-18;0,0;338,23;338,23;EUR
2021-05-24;ADA;200,0;2019-05-28;0,0;246,88;246,88;EUR
2021-05-24;ADA;7071,22;2018-12-26;0,0;8728,71;8728,71;EUR
2021-05-24;ADA;79,65;2018-12-26;0,0;98,45;98,45;EUR
2021-05-24;ADA;176,05;2018-12-26;0,0;11696,43;11696,43;EUR
2021-05-24;ADA;4329,08;2018-12-26;0,0;10233,94;10233,94;EUR
2021-05-24;ADA;618,65;2018-12-03;0,0;1462,49;1462,49;EUR
2021-05-24;ADA;4339,0;2018-12-03;0,0;11696,43;11696,43;EUR
2021-05-24;ADA;0,35;2018-12-03;0,0;11696,43;11696,43;EUR
